"SAP_CUST_NUMBER","DOC_NUMBER","DOC_DATE","AMOUNT","CURRENCY","TRX_TYPE","DOC_TYPE","ASSIGNMENT_NUM","NET_DUE_DATE"
"0001047295","9300617481","05-OCT-22","4415.21",DKK,S,RV,"9822172562","15-DEC-22"
"0001047295","9300625359","09-NOV-22","2784.74",DKK,S,RV,"9822179039","14-JAN-23"
"0001047295","9300625443","09-NOV-22","1866.38",DKK,S,RV,"9822179123","14-JAN-23"
"0001047295","9300631788","07-DEC-22","3255.83",DKK,S,RV,"9822184338","14-FEB-23"
"0001047295","9300628172","23-NOV-22","3239.95",DKK,S,RV,"9822181663","14-JAN-23"
"0001047295","9300631769","07-DEC-22","9399.25",DKK,S,RV,"9822184319","14-FEB-23"
"0001047295","9300626756","16-NOV-22","3313.78",DKK,S,RV,"9822180319","14-JAN-23"
"0001047295","9300622331","26-OCT-22","6668.29",DKK,S,RV,"9822176301","15-DEC-22"
"0001047295","9300620431","19-OCT-22","8044.94",DKK,S,RV,"9822175174","15-DEC-22"
"0001047295","9300631878","07-DEC-22","7520.33",DKK,S,RV,"9822184428","14-FEB-23"
"0001047295","9300617376","05-OCT-22","2638.15",DKK,S,RV,"9822172454","15-DEC-22"
"0001047295","9300623939","02-NOV-22","3569.43",DKK,S,RV,"9822177751","14-JAN-23"
"0001047295","9300631718","07-DEC-22","3114.09",DKK,S,RV,"9822184267","14-FEB-23"
"0001047295","9300620472","19-OCT-22","5093.19",DKK,S,RV,"9822175215","15-DEC-22"
"0001047295","9300620434","19-OCT-22","6794.04",DKK,S,RV,"9822175177","15-DEC-22"
"0001047295","9300631730","07-DEC-22","6085.81",DKK,S,RV,"9822184279","14-FEB-23"
"0001047295","9300630862","02-DEC-22","272.90",DKK,S,RV,"9822183485","14-FEB-23"
"0001047295","9300620378","19-OCT-22","5056.53",DKK,S,RV,"9822175121","15-DEC-22"
"0001047295","9300622363","26-OCT-22","7464.91",DKK,S,RV,"9822176334","15-DEC-22"
"0001047295","9300623961","02-NOV-22","2727.65",DKK,S,RV,"9822177773","14-JAN-23"
"0001047295","1400013418","18-OCT-22","104.90",DKK,S,DZ,"1239349","03-DEC-22"
"0001047295","9300625357","09-NOV-22","3849.51",DKK,S,RV,"9822179037","14-JAN-23"
"0001047295","9300622132","26-OCT-22","5947.21",DKK,S,RV,"9822176201","15-DEC-22"
"0001047295","9300625387","09-NOV-22","2418.84",DKK,S,RV,"9822179069","14-JAN-23"
"0001047295","9300622910","28-OCT-22","4974.20",DKK,S,RV,"9822176867","15-DEC-22"
"0001047295","9300626748","16-NOV-22","4880.89",DKK,S,RV,"9822180311","14-JAN-23"
"0001047295","9300627370","18-NOV-22","2197.89",DKK,S,RV,"9822180928","14-JAN-23"
"0001047295","9300630314","30-NOV-22","7865.43",DKK,S,RV,"9822182983","14-JAN-23"
"0001047295","9300627216","17-NOV-22","1437.50",DKK,S,RV,"9822180776","14-JAN-23"
"0001047295","9300626673","16-NOV-22","1941.46",DKK,S,RV,"9822180238","14-JAN-23"
"0001047295","9300628118","23-NOV-22","11695.41",DKK,S,RV,"9822181609","14-JAN-23"
"0001047295","9300622117","26-OCT-22","4583.76",DKK,S,RV,"9822176186","15-DEC-22"
"0001047295","9300628040","23-NOV-22","2177.84",DKK,S,RV,"9822181533","14-JAN-23"
"0001047295","1400013418","18-OCT-22","14.65",DKK,S,DZ,"1239376","03-DEC-22"
"0001047295","9300622833","28-OCT-22","161.95",DKK,S,RV,"9822176789","15-DEC-22"
"0001047295","9300617386","05-OCT-22","2634.00",DKK,S,RV,"9822172464","15-DEC-22"
"0001047295","9300626749","16-NOV-22","4771.01",DKK,S,RV,"9822180312","14-JAN-23"
"0001047295","9300618857","12-OCT-22","1997.59",DKK,S,RV,"9822173857","15-DEC-22"
"0001047295","9300622402","26-OCT-22","5876.84",DKK,S,RV,"9822176372","15-DEC-22"
"0001047295","9300626652","16-NOV-22","34238.75",DKK,S,RV,"9822180213","14-JAN-23"
"0001047295","9300622844","28-OCT-22","685.50",DKK,S,RV,"9822176815","15-DEC-22"
"0001047295","9300630318","30-NOV-22","4199.16",DKK,S,RV,"9822182987","14-JAN-23"
"0001047295","9300618945","12-OCT-22","4036.30",DKK,S,RV,"9822173939","15-DEC-22"
"0001047295","9300622837","28-OCT-22","731.25",DKK,S,RV,"9822176793","15-DEC-22"
"0001047295","9300617384","05-OCT-22","3644.16",DKK,S,RV,"9822172462","15-DEC-22"
"0001047295","9300617501","05-OCT-22","3270.53",DKK,S,RV,"9822172582","15-DEC-22"
"0001047295","9300617359","05-OCT-22","3097.51",DKK,S,RV,"9822172437","15-DEC-22"
"0001047295","9300626745","16-NOV-22","4487.41",DKK,S,RV,"9822180308","14-JAN-23"
"0001047295","9300628694","25-NOV-22","1475.16",DKK,S,RV,"9822182067","14-JAN-23"
"0001047295","9300622892","28-OCT-22","408.13",DKK,S,RV,"9822176850","15-DEC-22"
"0001047295","9300617508","05-OCT-22","2129.76",DKK,S,RV,"9822172589","15-DEC-22"
"0001047295","9300628023","23-NOV-22","8700.26",DKK,S,RV,"9822181515","14-JAN-23"
"0001047295","1400012849","16-AUG-22","418.75",DKK,S,DZ,"7050623","30-SEP-22"
"0001047295","9300625459","09-NOV-22","2660.14",DKK,S,RV,"9822179139","14-JAN-23"
"0001047295","9300622339","26-OCT-22","6643.13",DKK,S,RV,"9822176309","15-DEC-22"
"0001047295","9300622869","28-OCT-22","1072.85",DKK,S,RV,"9822176825","15-DEC-22"
"0001047295","9300631773","07-DEC-22","1151.08",DKK,S,RV,"9822184323","14-FEB-23"
"0001047295","9300627178","17-NOV-22","2012.50",DKK,S,RV,"9822180738","14-JAN-23"
"0001047295","9300617977","07-OCT-22","235.83",DKK,S,RV,"9822173047","15-DEC-22"
"0001047295","9300628139","23-NOV-22","5715.46",DKK,S,RV,"9822181631","14-JAN-23"
"0001047295","9300626614","16-NOV-22","4801.63",DKK,S,RV,"9822180174","14-JAN-23"
"0001047295","9300631836","07-DEC-22","2008.33",DKK,S,RV,"9822184388","14-FEB-23"
"0001047295","9300630856","02-DEC-22","1092.38",DKK,S,RV,"9822183480","14-FEB-23"
"0001047295","9300627083","17-NOV-22","2300.00",DKK,S,RV,"9822180644","14-JAN-23"
"0001047295","9300626798","16-NOV-22","3657.84",DKK,S,RV,"9822180366","14-JAN-23"
"0001047295","9300623940","02-NOV-22","3695.05",DKK,S,RV,"9822177752","14-JAN-23"
"0001047295","9300622147","26-OCT-22","5277.89",DKK,S,RV,"9822176216","15-DEC-22"
"0001047295","9300617364","05-OCT-22","2276.00",DKK,S,RV,"9822172442","15-DEC-22"
"0001047295","9300625491","09-NOV-22","3216.35",DKK,S,RV,"9822179171","14-JAN-23"
"0001047295","9300627208","17-NOV-22","2012.50",DKK,S,RV,"9822180769","14-JAN-23"
"0001047295","9300622831","28-OCT-22","1330.59",DKK,S,RV,"9822176787","15-DEC-22"
"0001047295","1400013418","18-OCT-22","150.63",DKK,S,DZ,"3402442","03-DEC-22"
"0001047295","1400013418","18-OCT-22","75.00",DKK,S,DZ,"1237746","03-DEC-22"
"0001047295","9300630325","30-NOV-22","3900.59",DKK,S,RV,"9822182994","14-JAN-23"
"0001047295","9300625867","11-NOV-22","389.35",DKK,S,RV,"9822179532","14-JAN-23"
"0001047295","9300619603","14-OCT-22","1523.95",DKK,S,RV,"9822174373","15-DEC-22"
"0001047295","9300626641","16-NOV-22","5014.40",DKK,S,RV,"9822180201","14-JAN-23"
"0001047295","9300632410","09-DEC-22","745.43",DKK,S,RV,"9822184941","14-FEB-23"
"0001047295","9300623857","02-NOV-22","4928.24",DKK,S,RV,"9822177669","14-JAN-23"
"0001047295","9300631747","07-DEC-22","3635.94",DKK,S,RV,"9822184296","14-FEB-23"
"0001047295","9300631877","07-DEC-22","350.78",DKK,S,RV,"9822184427","14-FEB-23"
"0001047295","9300623945","02-NOV-22","4950.58",DKK,S,RV,"9822177757","14-JAN-23"
"0001047295","9300618000","07-OCT-22","654.56",DKK,S,RV,"9822173071","15-DEC-22"
"0001047295","9300628146","23-NOV-22","2276.19",DKK,S,RV,"9822181637","14-JAN-23"
"0001047295","9300626650","16-NOV-22","5869.31",DKK,S,RV,"9822180210","14-JAN-23"
"0001047295","9300627042","17-NOV-22","2300.00",DKK,S,RV,"9822180612","14-JAN-23"
"0001047295","9300629943","30-NOV-22","5515.39",DKK,S,RV,"9822182885","14-JAN-23"
"0001047295","9300620514","19-OCT-22","3016.88",DKK,S,RV,"9822175257","15-DEC-22"
"0001047295","9300628096","23-NOV-22","3323.36",DKK,S,RV,"9822181587","14-JAN-23"
"0001047295","9300621184","21-OCT-22","2204.30",DKK,S,RV,"9822175607","15-DEC-22"
